,state,party,candidate,votes,overall_votes,vote_pct,Unnamed: 0_x,Unnamed: 0.1_x,count,days_to_election_num_x,Unnamed: 0_y,Unnamed: 0.1_y,overall_count,days_to_election_num_y,ad_pct
39,NH,Republican,John Kasich,44909,279130,0.16088919141618602,51051056,61680561,1019,21882,394049943,487437234,9579,255473,0.10637853638166823
40,NH,Republican,Marco Rubio,30032,279130,0.1075914448464873,51434355,64486591,1384,45347,394049943,487437234,9579,255473,0.14448272262240316
41,NH,Republican,Ted Cruz,33189,279130,0.11890158707412317,21834779,26161433,545,6211,394049943,487437234,9579,255473,0.056895291784111075
42,NV,Democrat,Bernie Sanders,5641,11937,0.4725642958867387,309120896,385851956,5877,106379,598547441,768793864,10179,191487,0.5773651635720601
43,NV,Democrat,Hillary Clinton,6296,11937,0.5274357041132612,287660653,380569995,4279,83963,598547441,768793864,10179,191487,0.420375282444248
44,NV,Republican,Donald Trump,34531,74878,0.46116349261465317,60418582,78849014,657,1950,140152796,181701445,1825,11955,0.36
45,NV,Republican,John Kasich,2709,74878,0.03617885093084751,185687,231814,3,36,140152796,181701445,1825,11955,0.0016438356164383563
46,NV,Republican,Marco Rubio,17940,74878,0.23958973263174765,9247137,11946912,126,1192,140152796,181701445,1825,11955,0.06904109589041096
47,NV,Republican,Ted Cruz,16079,74878,0.21473597051203291,12387026,14787303,300,1878,140152796,181701445,1825,11955,0.1643835616438356
48,NY,Democrat,Bernie Sanders,763469,1817552,0.4200534565173376,50524243,67245211,815,4784,145681208,202273236,1752,13572,0.4651826484018265
49,NY,Democrat,Hillary Clinton,1054083,1817552,0.5799465434826624,66055204,92102286,666,4449,145681208,202273236,1752,13572,0.3801369863013699
50,NY,Republican,Donald Trump,524932,868987,0.6040734786596347,239783,344397,3,158,5094208,6815100,73,5159,0.0410958904109589
51,NY,Republican,John Kasich,217904,868987,0.250756340428568,264498,351856,4,186,5094208,6815100,73,5159,0.0547945205479452
52,NY,Republican,Ted Cruz,126151,868987,0.1451701809117973,633012,915798,7,243,5094208,6815100,73,5159,0.0958904109589041
53,OH,Democrat,Bernie Sanders,513549,1192815,0.43053533029011204,86275953,114876015,1500,46797,263487252,362436541,3170,99240,0.47318611987381703
54,OH,Democrat,Hillary Clinton,679266,1192815,0.569464669709888,177004678,247272171,1665,52309,263487252,362436541,3170,99240,0.5252365930599369
55,OH,Republican,Donald Trump,727585,2011357,0.3617383686734876,63249672,82821552,762,23538,209765889,287217914,2139,66500,0.35624123422159887
56,OH,Republican,John Kasich,956762,2011357,0.4756798519606415,69087664,95720603,648,20414,209765889,287217914,2139,66500,0.302945301542777
57,OH,Republican,Marco Rubio,59418,2011357,0.02954125001180795,1357736,1745223,20,379,209765889,287217914,2139,66500,0.009350163627863487
