state,party,candidate,votes,overall_votes,vote_pct
TX,Republican,Marco Rubio,502223,2737248,0.18347734659044412
FL,Republican,Ted Cruz,403640,2276926,0.17727409674271363
VA,Republican,Ted Cruz,173193,1012807,0.1710029650269005
OR,Republican,Ted Cruz,61590,361490,0.17037815707211817
SD,Republican,Ted Cruz,11352,66877,0.16974445624056103
KS,Republican,Marco Rubio,12189,72253,0.16869887755525723
UT,Republican,John Kasich,29773,177204,0.16801539468635018
KY,Republican,Marco Rubio,37579,225709,0.1664931393963023
MS,Democrat,Bernie Sanders,36348,218795,0.16612811078863776
ID,Republican,Marco Rubio,35347,215284,0.16418777057282474
DE,Republican,Ted Cruz,11110,67807,0.16384739038742313
OR,Republican,John Kasich,59096,361490,0.16347893441035713
NH,Republican,John Kasich,44909,279130,0.16088919141618602
SD,Republican,John Kasich,10659,66877,0.15938214931889888
AK,Republican,Marco Rubio,3318,21930,0.15129958960328319
KY,Republican,John Kasich,33134,225709,0.1467996402447399
NM,Republican,Ted Cruz,13825,95225,0.14518246258860593
NY,Republican,Ted Cruz,126151,868987,0.1451701809117973
WI,Republican,John Kasich,155200,1072699,0.14468177932486187
UT,Republican,Donald Trump,24864,177204,0.1403128597548588
VT,Democrat,Hillary Clinton,18335,134198,0.1366264772947436
NJ,Republican,John Kasich,59506,443724,0.13410588564062345
OH,Republican,Ted Cruz,267592,2011357,0.13304052935406296
HI,Republican,Marco Rubio,1759,13228,0.13297550650136075
NC,Republican,John Kasich,144299,1109048,0.13011068952831617
NE,Republican,John Kasich,22526,180231,0.12498404824919132
AZ,Republican,John Kasich,53040,435103,0.12190217029071278
CT,Republican,Ted Cruz,24969,208817,0.11957359793503403
NH,Republican,Ted Cruz,33189,279130,0.11890158707412317
CA,Republican,John Kasich,176620,1495574,0.11809512601850528
LA,Republican,Marco Rubio,33804,291926,0.11579646896816316
NH,Republican,Jeb Bush,31310,279130,0.11216995665102282
AK,Republican,Ben Carson,2401,21930,0.10948472412220703
WA,Republican,Ted Cruz,55719,510851,0.10907094240786452
KS,Republican,John Kasich,7795,72253,0.10788479371098778
NH,Republican,Marco Rubio,30032,279130,0.1075914448464873
HI,Republican,John Kasich,1413,13228,0.10681886906561838
