state,candidate,votes,vote_pct,Unnamed: 0,overall_votes,Unnamed: 0_x,Unnamed: 0.1_x,count,days_to_election_num_x,Unnamed: 0_y,Unnamed: 0.1_y,overall_count,days_to_election_num_y,ad_pct
NH,Ted Cruz,33189,0.11890158707412316,41,279130,21834779,26161433,545,6211,394049943,487437234,9579,255473,0.056895291784111075
NV,Bernie Sanders,5641,0.4725642958867387,42,11937,309120896,385851956,5877,106379,598547441,768793864,10179,191487,0.5773651635720601
NV,Donald Trump,34531,0.4611634926146532,44,74878,60418582,78849014,657,1950,140152796,181701445,1825,11955,0.36
NV,Hillary Clinton,6296,0.5274357041132612,43,11937,287660653,380569995,4279,83963,598547441,768793864,10179,191487,0.420375282444248
NV,John Kasich,2709,0.036178850930847516,45,74878,185687,231814,3,36,140152796,181701445,1825,11955,0.0016438356164383565
NV,Marco Rubio,17940,0.23958973263174765,46,74878,9247137,11946912,126,1192,140152796,181701445,1825,11955,0.06904109589041096
NV,Ted Cruz,16079,0.2147359705120329,47,74878,12387026,14787303,300,1878,140152796,181701445,1825,11955,0.1643835616438356
NY,Bernie Sanders,763469,0.4200534565173376,48,1817552,50524243,67245211,815,4784,145681208,202273236,1752,13572,0.4651826484018265
NY,Donald Trump,524932,0.6040734786596347,50,868987,239783,344397,3,158,5094208,6815100,73,5159,0.0410958904109589
NY,Hillary Clinton,1054083,0.5799465434826624,49,1817552,66055204,92102286,666,4449,145681208,202273236,1752,13572,0.3801369863013699
NY,John Kasich,217904,0.250756340428568,51,868987,264498,351856,4,186,5094208,6815100,73,5159,0.0547945205479452
NY,Ted Cruz,126151,0.1451701809117973,52,868987,633012,915798,7,243,5094208,6815100,73,5159,0.0958904109589041
OH,Bernie Sanders,513549,0.430535330290112,53,1192815,86275953,114876015,1500,46797,263487252,362436541,3170,99240,0.473186119873817
OH,Donald Trump,727585,0.3617383686734876,55,2011357,63249672,82821552,762,23538,209765889,287217914,2139,66500,0.3562412342215989
OH,Hillary Clinton,679266,0.569464669709888,54,1192815,177004678,247272171,1665,52309,263487252,362436541,3170,99240,0.5252365930599369
OH,John Kasich,956762,0.4756798519606415,56,2011357,69087664,95720603,648,20414,209765889,287217914,2139,66500,0.302945301542777
